Tipo,Nome/Sigla,Endereco,Bairro,Computadores Disponiveis,Latitude,Longitude
Centro de Inclusão Digital,ONG BRASIL MELHOR | PROJETO BRASIL MELHOR,"RUA CRISTIANO OTONI, 133",Santa Terezinha,10.0,-19.8679346,-43.999463
Centro de Inclusão Digital,GRUPO DE APOIO SOCIAL SOLIDARIEDADE - GASS,"RUA CONSELHEIRO ROCHA, 2300",Santa Tereza,20.0,-19.9168002,-43.9112113
Centro de Inclusão Digital,GRUPO DE APOIO A FAMÍLIA CARENTE - CEMASS,"RUA CINCO, 61",Conjunto Bonsucesso,10.0,-19.8405289,-43.9114353
Centro de Inclusão Digital,ASSOCIAÇÃO CULTURAL CASA DO BECO,"AVENIDA ARTUR BERNARDES, 3876",Vila Barragem Santa Lúcia,11.0,-19.9537659,-43.9474502
Centro de Inclusão Digital,CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS VILA SUMARÉ,"RUA CIRILO GASPAR DE ARAUJO, 518",Aparecida Sétima Seção,7.0,-19.8936437,-43.960116
Centro de Inclusão Digital,PROJETO SOCIAL BATISTA EVANGELISTA FORÇA DO BEM,"AVENIDA DETETIVE EDUARDO FERNANDES, 560",Novo Aarão Reis,10.0,-19.8418072,-43.9051375
Centro de Inclusão Digital,MOVIMENTO FAMILIAR CRISTÃO - CASA MIGUEL MAGONE,"AVENIDA AMAZONAS, 3984",Prado,8.0,-19.9218027,-43.9435973
Centro de Inclusão Digital,CENTRO DE REFERÊNCIA EM SEGURANÇA ALIMENTAR E NUTRICIONAL - CERSAN MERCADO DA LAGOINHA,"AVENIDA PRESIDENTE ANTONIO CARLOS, 821",Lagoinha,10.0,-19.9048702,-43.9453042
Centro de Inclusão Digital,CENTRO DE REFERÊNCIA ESPECIALIZADO PARA POPULAÇÃO EM SITUAÇÃO DE RUA - CENTRO POP MIGUILIM,"RUA VARGINHA, 210",Colégio Batista,10.0,-19.9107763,-43.9363781
Centro de Inclusão Digital,CENTRO DE REFERÊNCIA DA PESSOA IDOSA - CRPI,"RUA PERDIZES, 336",Monsenhor Messias,11.0,-19.9099955,-43.9736647
Centro de Inclusão Digital,CENTRO CULTURAL LINDÉIA REGINA,"RUA ARISTOLINO BASILIO DE OLIVEIRA, 445",Lindéia,10.0,-19.9835904,-44.0549616
Centro de Inclusão Digital,CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS VILA ANTENA,"RUA CENTRAL, 78",Vila Antena,11.0,-19.8244384,-43.9866117
Centro de Inclusão Digital,CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS APOLÔNIA,"RUA VISCONDE DE ITABORAI, 304",Jardim Leblon,11.0,-19.8287997,-43.9871568
Centro de Inclusão Digital,CENTRO DE DEFESA COLETIVA,"RUA SAO TOMAZ DE AQUINO, 440",Santa Rita de Cássia,1.0,-19.9485821,-43.9395881
Centro de Inclusão Digital,FEDERAÇÃO NACIONAL DE EDUCAÇÃO E INTEGRAÇÃO DOS SURDOS - FENEIS,"RUA ALBITA, 144",Cruzeiro,11.0,-19.9409843,-43.9266567
Centro de Inclusão Digital,OBRA SOCIAL DA PARÓQUIA SÃO GABRIEL,"RUA THEODORO BONFIM, 85",Taquaril,21.0,-19.9158205,-43.8836548
Centro de Inclusão Digital,INSTITUTO DE GERIATRIA AFONSO PENA - IGAP,"RUA DOMINGOS VIEIRA, 586",Santa Efigênia,4.0,-19.9233876,-43.9211577
Centro de Inclusão Digital,LAR DOS IDOSOS CLOTILDE MARTINS - SSVP,"RUA CAMPINA VERDE, 407",Salgado Filho,3.0,-19.9467634,-43.9808703
Centro de Inclusão Digital,SOCIEDADE DE AMPARO A POBREZA | LAR DOS IDOSOS RECANTO DA SAUDADE,"RUA CARMELITA PRATES DA SILVA, 393",Salgado Filho,4.0,-19.9442992,-43.985514
Centro de Inclusão Digital,Escola Aberta Marconi,"AVENIDA DO CONTORNO, 8476",Santo Agostinho,Não Informado,-19.9315187,-43.9552913
Centro de Inclusão Digital,Escola Aberta Paulo Mendes Campos,"AVENIDA ASSIS CHATEAUBRIAND, 429",Floresta,Não Informado,-19.9171499,-43.9295202
Centro de Inclusão Digital,Escola Aberta Presidente João Pessoa,"RUA CONGONHAS, 639",Santo Antônio,Não Informado,-19.943448,-43.9409148
Centro de Inclusão Digital,Escola Aberta Doutor Júlio Soares,"RUA SAO VICENTE, 200",Granja de Freitas,Não Informado,-19.9082415,-43.884215
Centro de Inclusão Digital,Escola Aberta Emídio Berutto,"RUA CONCEICAO DO PARA, 1726",Santa Inês,Não Informado,-19.8808389,-43.9118618
Centro de Inclusão Digital,Escola Aberta Professor Lourenço de Oliveira,"RUA ANHANGUERA, 47",Santa Tereza,Não Informado,-19.9133297,-43.9205716
Centro de Inclusão Digital,Escola Aberta Américo René Giannetti,"RUA JUNDIAI, 557",Concórdia,Não Informado,-19.8989217,-43.9404217
Centro de Inclusão Digital,Escola Aberta Governador Carlos Lacerda,"RUA PRINCESA LEOPOLDINA, 490",Ipiranga,Não Informado,-19.8853135,-43.9324323
Centro de Inclusão Digital,Escola Aberta Monteiro Lobato,"RUA SANTA APOLONIA, 120",São Marcos,Não Informado,-19.8751402,-43.9101364
Centro de Inclusão Digital,Escola Aberta Murilo Rubião,"RUA UM, 10",Acaiaca,Não Informado,-19.8328695,-43.9352226
Centro de Inclusão Digital,Escola Aberta Professora Helena Abdalla,"RUA ARNALDO LOURENCO, 602",Pousada Santo Antônio,Não Informado,-19.8584776,-43.886108
Centro de Inclusão Digital,Escola Aberta Professora Maria Mazarello,"RUA BENEDITO NEVES, 45",Nazaré,Não Informado,-19.8521356,-43.8923203
Centro de Inclusão Digital,Escola Aberta Dom Bosco,"RUA BICUIBA, 100",Dom Bosco,Não Informado,-19.9169065,-43.9993871
Centro de Inclusão Digital,Escola Aberta Dom Jaime de Barros Câmara,"RUA FREDERICO BRACHER JUNIOR, 123",Carlos Prates,Não Informado,-19.9169205,-43.9678101
Centro de Inclusão Digital,Escola Aberta Doutor José Diogo de Almeida Magalhães,"RUA CARMO DO RIO CLARO, 145",Pedreira Prado Lopes,Não Informado,-19.9028487,-43.9496022
Centro de Inclusão Digital,Escola Aberta Acadêmico Vivaldi Moreira,"RUA AGENOR DE PAULA ESTRELA, 393",Jaqueline,Não Informado,-19.8008862,-43.9356817
Centro de Inclusão Digital,Escola Aberta Desembargador Loreto Ribeiro de Abreu,"RUA MARCOS DONATO DE LIMA, 520",Ribeiro de Abreu,Não Informado,-19.8191432,-43.9025326
Centro de Inclusão Digital,Escola Aberta Hilda Rabello Matta,"RUA JOVENTINA DA ROCHA, 72",Heliópolis,Não Informado,-19.8450298,-43.9346688
Centro de Inclusão Digital,Escola Aberta Minervina Augusta,"RUA DAVID CANABARRO, 18",Campo Alegre,Não Informado,-19.8296808,-43.9466099
Centro de Inclusão Digital,Escola Aberta Sebastiana Novaes,"RUA ANITA MALFATTI, 60",Tupi B,Não Informado,-19.8418175,-43.9191837
Centro de Inclusão Digital,Escola Aberta Francisca Alves,"AVENIDA SANTA TEREZINHA, 8",Conjunto Lagoa,Não Informado,-19.8734559,-44.0055169
Centro de Inclusão Digital,Escola Aberta José Madureira Horta,"RUA JOAQUIM RAYMUNDO BRAGA, 40",Santa Amélia,Não Informado,-19.8359677,-43.980116
Centro de Inclusão Digital,Escola Aberta Santa Terezinha,"RUA CONCEICAO DA APARECIDA, 400",Santa Terezinha,Não Informado,-19.8724283,-44.0005325
Centro de Inclusão Digital,Escola Aberta Antônio Gomes Horta,"RUA ANTONIO JOSE DE OLIVEIRA, 161",Minascaixa,Não Informado,-19.8118425,-43.9551359
Centro de Inclusão Digital,Escola Aberta Cora Coralina,"RUA LISBOA, 54",Copacabana,Não Informado,-19.8352105,-43.9870071
Centro de Inclusão Digital,Escola Aberta Doutor José Xavier Nogueira,"RUA NAVARRA, 100",Europa,Não Informado,-19.8024934,-43.9628649
Centro de Inclusão Digital,Escola Aberta Joaquim dos Santos,"RUA ANTONIO JOSE DOS SANTOS, 300",Céu Azul,Não Informado,-19.8208276,-43.9969994
Centro de Inclusão Digital,Escola Aberta Padre Marzano Matias,"RUA ERICO VERISSIMO, 1280",Rio Branco,Não Informado,-19.8324098,-43.9112951
Centro de Inclusão Digital,Escola Aberta Presidente Tancredo Neves,"RUA RADIALISTA JOAQUIM DA FONSECA, 45",Céu Azul,Não Informado,-19.8183115,-44.0029763
Centro de Inclusão Digital,Escola Aberta Professor Pedro Guerra,"RUA JOAO FERREIRA DA SILVA, 230",Mantiqueira,Não Informado,-19.8012994,-44.0012953
Centro de Inclusão Digital,Escola Aberta Professora Ondina Nobre,"RUA RADIALISTA JOSE JUNQUILHO, 100",Céu Azul,Não Informado,-19.8245953,-44.0041421
Centro de Inclusão Digital,Escola Aberta Tancredo Phídeas Guimarães,"RUA SATURNO, 400",Parque São Pedro,Não Informado,-19.8148483,-43.950008
Centro de Inclusão Digital,Escola Aberta Vinícius de Moraes,"RUA SEBASTIAO MOREIRA, 409",Tirol,Não Informado,-19.9889517,-44.0384295
Centro de Inclusão Digital,Escola Aberta Rui da Costa Val,"RUA CECILIA TRINDADE SILVA, 30",Jardim Felicidade,Não Informado,-19.8304928,-43.9280339
Centro de Inclusão Digital,Escola Integrada Honorina Rabelo,"RUA MARIA CONCEICAO BONFIM, 315",Goiânia,Não Informado,-19.8580822,-43.8970408
Centro de Inclusão Digital,CENTRO DE APOIO COMUNITÁRIO MADRE JOSÉ,"RUA MUNDICA ROCHA ALVES, 220",Tupi B,11.0,-19.8300373,-43.9177369
Centro de Inclusão Digital,CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS HAVAÍ,"RUA DONA NICOLINA LIMA, 316",Havaí,11.0,-19.9518769,-43.9748025
Centro de Inclusão Digital,Escola Aberta Sérgio Miranda,"RUA MINISTRO OSVALDO ARANHA, 345",Granja Werneck,Não Informado,-19.8307265,-43.9136881
Centro de Inclusão Digital,CENTRO DE REFERÊNCIA ESPECIALIZADO PARA POPULAÇÃO EM SITUAÇÃO DE RUA - CENTRO POP LESTE,"RUA CONSELHEIRO ROCHA, 351",Vila Dias,10.0,-19.9168002,-43.9112113
Centro de Inclusão Digital,CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS VILA SÃO JOSÉ,"RUA JOAQUIM JOSE RIBEIRO, 50",Manacás,11.0,-19.9001783,-43.9956084
Centro de Inclusão Digital,CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS GRANJA DE FREITAS,"RUA DO GRUPO, 12",Granja de Freitas,10.0,-19.9074797,-43.8826218
Centro de Inclusão Digital,CENTRO DE CONVIVÊNCIA OESTE,"RUA GENERAL ANDRADE NEVES, 25",Gutierrez,6.0,-19.9327932,-43.9615015
Centro de Inclusão Digital,CENTRO CULTURAL BAIRRO DAS INDÚSTRIAS,"RUA DOS INDUSTRIARIOS, 289",Bairro das Indústrias I,10.0,-19.965247,-43.9989743
Centro de Inclusão Digital,CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS NOVO OURO PRETO,"RUA GERALDINA CANDIDA DE JESUS, 92",Ouro Preto,11.0,-19.8764528,-43.9877768
Centro de Inclusão Digital,Escola Municipal Jardim Leblon,"RUA SILVA XAVIER, 45",Jardim Leblon,Não Informado,-19.8268443,-43.9866846
Centro de Inclusão Digital,MOVIMENTO FAMILIAR CRISTÃO - MFC | CASA JOSÉ CARLOS,"RUA ANTONIO VERGARA, 20",Ouro Preto,12.0,-19.8687031,-43.9907368
Centro de Inclusão Digital,CENTRO COMUNITÁRIO MORRO DAS PEDRAS,"RUA MARCELO DE ARAUJO BRAGA, 472",São Jorge III,11.0,-19.9470809,-43.9621466
Centro de Inclusão Digital,CENTRO CULTURAL USINA DE CULTURA - NORDESTE,"RUA DOM CABRAL, 765",Ipiranga,8.0,-19.8861558,-43.9452844
Centro de Inclusão Digital,LAR DAS IDOSAS NOSSA SENHORA DA SAÚDE,"RUA POTUMAIO, 428",São Geraldo,3.0,-19.902063,-43.8996038
